draft_age,draft_pick,draft_year,entry,games,played_until,player,player_id,plus_minus,point_share,points,position,team,team_id
19,26,1979,26,998,1993,Brent Ashton,ashtobr01,-63,39.7,629,LW,Vancouver Canucks,NJD
18,2,1987,2,1524,2009,Brendan Shanahan,shanabr01,151,148.0,1354,LW,New Jersey Devils,BUF
18,4,1985,4,549,1996,Jim Sandlak,sandlji01,-28,11.6,229,RW,Vancouver Canucks,TOR
18,6,1984,6,191,1989,Craig Redmond,redmocr01,-59,8.8,84,D,Los Angeles Kings,PIT
18,8,1983,8,608,1994,Andrew McBain,mcbaian01,-145,12.4,301,RW,Winnipeg Jets,DAL
18,10,1982,10,874,1995,Rich Sutter,sutteri01,11,12.9,315,RW,Pittsburgh Penguins,BOS
18,13,1981,13,48,1983,Ron Meighan,meighro01,-11,1.8,10,D,Minnesota North Stars,PHX
19,18,1980,18,701,1992,Barry Pederson,pederba01,64,47.7,654,C,Boston Bruins,MTL
20,27,1979,27,476,1989,Gaston Gingras,gingrga01,-5,36.7,235,D,Montreal Canadiens,NJD
18,3,1987,3,1457,2008,Glen Wesley,weslegl01,66,104.1,537,D,Boston Bruins,BUF
18,1,1988,1,1499,2011,Mike Modano,modanmi01,114,144.9,1374,C,Minnesota North Stars,DAL
18,5,1985,5,838,1999,Dana Murzyn,murzyda01,136,49.6,204,D,Hartford Whalers,TOR
18,7,1984,7,878,2000,Shawn Burr,burrsh01,119,29.9,440,LW/C,Detroit Red Wings,PIT
18,9,1983,9,726,1996,Cam Neely,neelyca01,83,69.2,694,RW,Vancouver Canucks,DAL
18,11,1982,11,827,1998,Michel Petit,petitmi01,-179,45.8,328,D,Vancouver Canucks,BOS
18,14,1981,14,75,1983,Normand Leveille,leveino01,15,2.4,42,LW,Boston Bruins,PHX
18,19,1980,19,390,1990,Paul Gagne,gagnepa01,-113,10.8,211,LW,Colorado Rockies,MTL
19,28,1979,28,190,1985,Tim Trimper,trimpti01,-55,0.8,66,LW,Chicago Blackhawks,NJD
18,4,1987,4,211,1994,Wayne McBean,mcbeawa01,-72,5.5,49,D,Los Angeles Kings,BUF
18,2,1988,2,1382,2008,Trevor Linden,lindetr01,-64,73.3,867,RW,Vancouver Canucks,DAL
18,6,1985,6,321,1996,Brad Dalgarno,dalgabr01,0,5.0,120,RW,New York Islanders,TOR
18,8,1984,8,1156,2004,Shayne Corson,corsosh01,43,55.0,693,LW,Montreal Canadiens,PIT
18,10,1983,10,319,1991,Normand Lacombe,lacomno01,-5,3.9,115,RW,Buffalo Sabres,DAL
18,12,1982,12,598,1996,Jim Kyte,kyteji01,-91,15.3,66,D,Winnipeg Jets,BOS
18,15,1981,15,1416,2004,Al MacInnis,macinal01,371,195.0,1274,D,Calgary Flames,PHX
19,20,1980,20,250,1986,Steve Patrick,patrist01,-5,3.8,108,RW,Buffalo Sabres,MTL
20,29,1979,29,223,1989,Dean Hopkins,hopkide01,-34,-0.3,74,RW,Los Angeles Kings,NJD
18,5,1987,5,510,2001,Chris Joseph,josepch01,-71,21.8,151,D,Pittsburgh Penguins,BUF
18,1,1989,1,1346,2009,Mats Sundin,sundima01,73,144.4,1349,C,Quebec Nordiques,COL
18,3,1988,3,1033,2004,Curtis Leschyshyn,leschcu01,-52,43.2,212,D,Quebec Nordiques,DAL
18,7,1985,7,966,2003,Ulf Dahlen,dahleul01,-20,58.2,655,LW,New York Rangers,TOR
18,9,1984,9,1071,2000,Doug Bodger,bodgedo01,-35,79.4,528,D,Pittsburgh Penguins,PIT
18,11,1983,11,708,1997,Adam Creighton,creigad01,-18,27.6,403,C,Buffalo Sabres,DAL
18,13,1982,13,769,1998,David Shaw,shawda01,-35,42.2,194,D,Quebec Nordiques,BOS
18,16,1981,16,18,1989,Steve Smith,smithst04,0,0.6,1,D,Philadelphia Flyers,PHX
18,21,1980,21,30,1988,Mike Stothers,stothmi01,-7,0.5,2,D,Philadelphia Flyers,MTL
20,30,1979,30,915,1994,Mark Hardy,hardyma01,-97,49.6,368,D,Los Angeles Kings,NJD
18,6,1987,6,323,1997,Dave Archibald,archida01,-75,4.6,124,C/LW,Minnesota North Stars,BUF
18,2,1989,2,126,1997,Dave Chyzowski,chyzoda01,-29,-0.4,31,LW,New York Islanders,COL
18,1,1986,1,779,2001,Joe Murphy,murphjo01,29,46.8,528,RW,Detroit Red Wings,DET
18,4,1988,4,506,1998,Darrin Shannon,shannda02,-26,14.3,250,LW,Pittsburgh Penguins,DAL
18,8,1985,8,470,1999,Brent Fedyk,fedykbr01,-17,12.1,209,LW,Detroit Red Wings,TOR
18,10,1984,10,899,2001,J.J. Daigneault,daignjj01,-3,48.9,250,D,Vancouver Canucks,PIT
18,12,1983,12,946,1999,Dave Gagner,gagneda01,-65,60.9,719,C,New York Rangers,DAL
